phenotype_id,phenotype_name,ecotype_id,value,replicate_id
1,root.ITS.1.raw.tn2.glmer.pca.n25_PC1,5837,-1.80538500426455,1
1,root.ITS.1.raw.tn2.glmer.pca.n25_PC1,6008,-1.84574004530567,1
1,root.ITS.1.raw.tn2.glmer.pca.n25_PC1,6009,-1.3169553460275,1
1,root.ITS.1.raw.tn2.glmer.pca.n25_PC1,6016,-0.117203185679412,1
1,root.ITS.1.raw.tn2.glmer.pca.n25_PC1,6024,0.312621603669127,1
1,root.ITS.1.raw.tn2.glmer.pca.n25_PC1,6039,0.585680203135335,1
1,root.ITS.1.raw.tn2.glmer.pca.n25_PC1,6040,-2.22192379540819,1
1,root.ITS.1.raw.tn2.glmer.pca.n25_PC1,6042,0.589166373161473,1
1,root.ITS.1.raw.tn2.glmer.pca.n25_PC1,6043,-0.616082147839768,1
1,root.ITS.1.raw.tn2.glmer.pca.n25_PC1,6046,6.220403860942,1
1,root.ITS.1.raw.tn2.glmer.pca.n25_PC1,6064,-1.98816278348228,1
1,root.ITS.1.raw.tn2.glmer.pca.n25_PC1,6074,-1.07564366024466,1
1,root.ITS.1.raw.tn2.glmer.pca.n25_PC1,6088,-0.835239079203914,1
1,root.ITS.1.raw.tn2.glmer.pca.n25_PC1,6243,-0.582332735525465,1
1,root.ITS.1.raw.tn2.glmer.pca.n25_PC1,6909,-0.941848262036281,1
1,root.ITS.1.raw.tn2.glmer.pca.n25_PC1,8222,-2.50455542994092,1
1,root.ITS.1.raw.tn2.glmer.pca.n25_PC1,8230,-0.612962105212292,1
1,root.ITS.1.raw.tn2.glmer.pca.n25_PC1,8231,0.669507357120311,1
1,root.ITS.1.raw.tn2.glmer.pca.n25_PC1,8233,-0.233828446827379,1
1,root.ITS.1.raw.tn2.glmer.pca.n25_PC1,8234,0.770455616084293,1
1,root.ITS.1.raw.tn2.glmer.pca.n25_PC1,8235,-2.01779211346378,1
1,root.ITS.1.raw.tn2.glmer.pca.n25_PC1,8236,-0.0226781981064103,1
